Itemset,Support
{'toothpaste'},0.17266666666666666
{'milk'},0.16133333333333333
{'tomatoes'},0.157
{'soda'},0.15566666666666668
{'onions'},0.15466666666666667
{'soap'},0.15366666666666667
{'biscuits'},0.151
{'yogurt'},0.151
{'eggs'},0.15066666666666667
{'potatoes'},0.15066666666666667
{'juice'},0.15033333333333335
{'coffee'},0.14933333333333335
{'bread'},0.149
{'tea'},0.149
{'pasta'},0.148
{'detergent'},0.14666666666666667
{'butter'},0.146
{'chicken'},0.146
{'rice'},0.14566666666666667
{'apples'},0.14533333333333334
{'sugar'},0.145
{'beef'},0.145
{'lettuce'},0.14466666666666667
{'salt'},0.14433333333333334
{'cereal'},0.14433333333333334
{'cheese'},0.143
{'carrots'},0.14133333333333334
{'bananas'},0.136
{'chocolate'},0.13166666666666665
{'pepper'},0.13066666666666665
